link_id,name,from_node_id,to_node_id,directed_route_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,VDF_FFTT1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_frequency1,VDF_FFTT2,VDF_cap2,VDF_alpha2,VDF_beta2,VDF_frequency2,VDF_FFTT3,VDF_cap3,VDF_alpha3,VDF_beta3,VDF_frequency3,VDF_FFTT4,VDF_cap4,VDF_alpha4,VDF_beta4,VDF_frequency4,VDF_FFTT5,VDF_cap5,VDF_alpha5,VDF_beta5,VDF_frequency5,geometry
,BLUE.0.13995.entrance,26,100011,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.060796 38.806506, -77.060896 38.806406)"
,BLUE.0.13995.exit,100011,26,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.060896 38.806406, -77.060796 38.806506)"
,BLUE.0.14816.entrance,29,100012,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.168487 38.766196, -77.168587 38.766096)"
,BLUE.0.14816.exit,100012,29,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.168587 38.766096, -77.168487 38.766196)"
,BLUE.0.4613.entrance,54,100013,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.937662 38.890418, -76.937762 38.890318)"
,BLUE.0.4613.exit,100013,54,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.937762 38.890318, -76.937662 38.890418)"
,BLUE.0.4664.entrance,56,100014,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.868498 38.893586, -76.868598 38.893486)"
,BLUE.0.4664.exit,100014,56,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.868598 38.893486, -76.868498 38.893586)"
,BLUE.0.4697.entrance,57,100015,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.844540 38.900269, -76.844640 38.900169)"
,BLUE.0.4697.exit,100015,57,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.844640 38.900169, -76.844540 38.900269)"
,BLUE.0.5017.entrance,63,100016,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.021600 38.884886, -77.021700 38.884786)"
,BLUE.0.5017.exit,100016,63,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.021700 38.884786, -77.021600 38.884886)"
,BLUE.0.5110.entrance,65,100017,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.977168 38.885982, -76.977268 38.885882)"
,BLUE.0.5110.exit,100017,65,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.977268 38.885882, -76.977168 38.885982)"
,BLUE.0.6479.entrance,70,100018,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.995010 38.884148, -76.995110 38.884048)"
,BLUE.0.6479.exit,100018,70,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.995110 38.884048, -76.995010 38.884148)"
,BLUE.0.6553.entrance,71,100019,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.985397 38.880874, -76.985497 38.880774)"
